Brand,Price Value,Currency,Rating,Ratings Count,Processor,Screen Size,Manufacturer Color,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Release Year,Model,OS,Features,Hard Drive Capacity,Country Region Of Manufacture,Storage Type,Resolution Width,Resolution Height
HP,999.0,$,Unknown,4.0,Intel Core i5-8265U,15.6,Unknown,Unknown,8 GB,256 GB,Unknown,1.60 GHz,Notebook/Laptop,Unknown,ProBook 650 G5,Not Included,"10/100 LAN Card,  Built-in Webcam",Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
Lenovo,229.0,$,Unknown,4.0,Intel Core i5 8th Gen.,14.0,Unknown,Unknown,16 GB,256 GB,Unknown,1.7 GHz,Notebook/Laptop,Unknown,Lenovo ThinkPad T480s,Windows 11 Pro,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Widescreen Display, Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
ASUS,292.95,$,Unknown,4.0,Intel Core i3 11th Gen.,15.6,Unknown,Gray,8 GB,256 GB,Intel UHD Graphics,1.80 GHz,Notebook/Laptop,Unknown,ASUS VivoBook,Windows 11 Home,"Wi-Fi, Bluetooth, Built-in Webcam, Multi-Touch Trackpad, Built-in Microphone, Backlit Keyboard",256 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,184.99,$,Unknown,4.0,Intel Core i5-10310u,14.0,Unknown,Gray,16 GB,512 GB,Unknown,1.70 GHz,Unknown,Unknown,Dell Latitude 3410,No Os,"Backlit Keyboard, Bluetooth, Built-in Webcam, Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
HP,259.0,$,Unknown,4.0,Intel Core i7 4th Gen.,11.6,Unknown,Silver,8 GB,256 GB,Intel HD Graphics 4000,2.10 GHz,Notebook/Laptop,Unknown,HP Elitebook Revolve 810 G2,Windows 10 Pro,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi",256 GB,China,SSD (Solid State Drive),1366.0,768.0
Olpc,114.99,$,Unknown,4.0,unknown,7.2,Unknown,Multicolor,Unknown,Unknown,Unknown,Unknown,Notebook/Laptop,Unknown,XO-1,Linux,"Rugged, Wi-Fi",Unknown,Unknown,Unknown,1920.0,1080.0
Acer,41.0,$,3.5 out of 5 stars,3.0,Intel Celeron N,11.6,Unknown,Gray,4 GB,32GB,Intel HD Graphics 400,2.48 GHz,Notebook/Laptop,2017,C731T-C0X8,Chrome OS,Touchscreen,32 GB,Unknown,eMMC,1366.0,768.0
Dell,74.99,$,Unknown,4.0,Intel Celeron,11.6,Unknown,Black,4 GB,128 GB,Unknown,1.10 GHz,Notebook/Laptop,Unknown,Dell 3190 2-in-1,Windows 10,Touchscreen,Unknown,Unknown,SSD (Solid State Drive),1366.0,768.0
HP,510.0,$,Unknown,4.0,AMD Ryzen 3Pro,14.0,Unknown,Silver,16 GB,256 GB,Unknown,Unknown,Notebook/Laptop,Unknown,HP ProBook,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Lenovo,169.99,$,Unknown,4.0,Intel Celeron N,14.0,Unknown,Gray,4 GB,128 GB,Intel UHD Graphics,1.10 GHz,Notebook/Laptop,Unknown,Lenovo IdeaPad 1,Windows 11 Home,"Bluetooth, Built-in Webcam, Wi-Fi, Backlit Keyboard, Built-in Microphone",128 GB,Unknown,eMMC,1366.0,768.0
Unknown,59.82,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
HP,44.75,$,Unknown,4.0,Intel Celeron N,11.6,Unknown,Gray,4 GB,32 GB,Unknown,1.10 GHz,Notebook/Laptop,Unknown,HP Chromebook X360 11 G1 EE,Chrome OS,"Bluetooth, Built-in Webcam, Touchscreen",32 GB,Unknown,SSD (Solid State Drive),1366.0,768.0
Dell,209.0,$,Unknown,4.0,Intel Core i5 8th Gen.,14.1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Lenovo,179.95,$,Unknown,4.0,Celeron N2930,11.6,Unknown,Unknown,4 GB,16 GB,Unknown,Unknown,Unknown,Unknown,Samsung ChromeBook,Chrome OS,Unknown,16 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,219.99,$,Unknown,4.0,Intel Core i7 7th Gen.,12.5,Unknown,Unknown,16 GB,500 GB,Intel HD Graphics 620,2.60 GHz,Notebook/Laptop,Unknown,Dell Latitude 7280,Windows 11 Pro,Wi-Fi,500 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,259.99,$,Unknown,4.0,Intel Core i7 8th Gen.,13.3,Unknown,Unknown,16 GB,512 GB,Unknown,1.90 GHz,Notebook/Laptop,Unknown,Dell Latitude 7390,Windows 11 Pro,Wi-Fi,512 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Unknown,59.42,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,306.87,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Intel HD Graphics 4400,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Lenovo,73.03,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,389.82,$,Unknown,4.0,Intel Core i5 4th generation,14.0,Unknown,Unknown,Unknown,480GB,Intel HD Graphics 4400,Unknown,Laptop,Unknown,E5440,Windows 10 Pros,Unknown,NO,Unknown,Unknown,1920.0,1080.0
Unknown,107.43,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Mouse Computer,1.0,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,299.99,$,Unknown,4.0,Intel Core i5 4th Gen.,14.0,Unknown,Black,12 GB,256 GB,Intel HD Graphics,2.00 GHz,Notebook/Laptop,2018,Latitude 14 Rugged (5404),Windows 11 Pro,"Backlit Keyboard, Bluetooth, Built-in Webcam, Rugged, Touchscreen, Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),1366.0,768.0
HP,69.0,$,Unknown,4.0,Intel Core 2 Duo,14.0,Unknown,Black/Gray,3 GB,240GB,Intel 965 GM (CL),2.00 GHz,Notebook/Laptop,2007,HP Compaq 6910P,Ubuntu,"WiFi, AC Adapter, Built-in Microphone",Unknown,Unknown,SSD (Solid State Drive),1280.0,800.0
Lenovo,244.69,$,Unknown,4.0,8250U,14.0,Unknown,Black,16GB,256 GB,Intel UHD Graphics 620,1.6GHz,NB,2018,Thinkpad T480s,Windows 11 Pro,"Bluetooth, Wi-Fi",No,United States,Unknown,1366.0,768.0
Unknown,10.52,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Lenovo,370.0,$,Unknown,4.0,Intel Core i5 10th Gen.,13.3,Black,Black,8 GB,256 GB,Intel UHD Graphics,1.60 GHz,Convertible 2-in-1 Laptop/Tablet,2020,Lenovo ThinkPad L13 Yoga,Windows 10 Pro,"Touchscreen, Backlit Keyboard",Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
Lenovo,270.0,$,4.5 out of 5 stars,2.0,Intel Core i3 12th Gen.,14.0,Unknown,Gray,8 GB,256 GB,Intel UHD Graphics,1.20 GHz,Notebook/Laptop,2022,Lenovo Flex 5,Windows 11 Home,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",Unknown,Unknown,SSD (Solid State Drive),1920.0,1200.0
Unknown,64.62,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,65.09,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Lenovo,61.58,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,26.04,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,384.4,$,Unknown,4.0,Intel Core i5 4th generation,14.0,Unknown,Unknown,Unknown,480GB,Intel HD Graphics 4400,2.60 GHz,Notebook/Laptop,Unknown,E5440,Windows 10 Pros,"10/100 LAN Card,  Wi-Fi,  SD Card Reader",NO,Unknown,Unknown,1920.0,1080.0
Unknown,13.02,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,24.25,$,Unknown,4.0,"ntel,",15.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Dell Precision M4600,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,470.5,$,Unknown,4.0,Intel Core i5 6th generation,12.0,Unknown,Unknown,Unknown,240GB,Intel HD Graphics 520,2.80 GHz,Notebook/Laptop,Unknown,E7270,Windows 10 Pros,"Touchscreen,  10/100 LAN Card,  Bluetooth,  LTE,  Backlit Keyboard,  Webcam integrated,  Wi-Fi",NO,Unknown,Unknown,1920.0,1080.0
Acer,89.99,$,Unknown,4.0,Intel Celeron N,14.0,Unknown,Silver,4 GB,128 GB,Intel UHD Graphics 600,1.1 GHz,Notebook/Laptop,Unknown,Acer Swift 1,Windows 11 Home S,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, Multi-Touch Trackpad, Built-in Microphone",128GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
AUUSDA,419.99,$,Unknown,4.0,Intel Celeron,14.1,Unknown,Unknown,8 GB,256 GB,Unknown,Unknown,Notebook/Laptop,Unknown,F146,Windows 11 Pro,Unknown,256 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Unknown,7.26,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,199.0,$,Unknown,4.0,Intel Core M-5Y71,11.6,Unknown,Unknown,8 GB,128 GB,Intel HD Graphics 5300,1.20 GHz,Notebook/Laptop,Unknown,Latitude 12 7202 Rugged Outdoor Tablet,Windows 10 Pro,Rugged,Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
Microsoft,199.99,$,Unknown,4.0,Intel Core i7 7th Gen.,13.5,Unknown,Silver,8 GB,256 GB,Intel HD Graphics,2.50 GHz,Notebook/Laptop,Unknown,Microsoft Surface 1769,Windows 10,"Bluetooth, Wi-Fi, Built-in Webcam, Touchscreen, Backlit Keyboard",256 GB,Unknown,SSD (Solid State Drive),2256.0,1504.0
HP,389.95,$,Unknown,4.0,Intel Core i5 11th Gen.,15.6,Unknown,Silver,8 GB,256 GB,Intel Iris Xe Graphics,2.40 GHz,Notebook/Laptop,2021,15-dy2795wm,‎Windows 11 Home,"Bluetooth,  Built-in Webcam,  Built-in Microphone",256 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Apple,582.26,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,42.32,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Fujitsu Siemens,405.53,$,Unknown,4.0,Intel Core i5 6th generation,13.0,Unknown,Unknown,Unknown,240GB,Intel HD Graphics 520,2.00-3.00GHz,Notebook/Laptop,Unknown,E736,Windows 11 pros,"10/100 LAN Card,  Webcam integrated,  Wi-Fi,  Bluetooth",NO,Unknown,SSD,1920.0,1080.0
Unknown,298.82,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,INTEL HD-GRAFIK 620,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,81.39,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Fujitsu,379.99,$,Unknown,4.0,Intel Core i3 2330M,15.6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,125.0,$,Unknown,4.0,Intel Core 2 Duo,15.4,Unknown,Black,3 GB,Unknown,Unknown,2.00 GHz,Notebook/Laptop,Unknown,Dell Latitude E5500,Windows 10,Wi-Fi,160 GB,Unknown,HDD (Hard Disk Drive),1280.0,800.0
Unknown,111.48,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,78.19,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,32.55,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Lenovo,250.0,$,Unknown,4.0,AMD Ryzen 5,15.6,Unknown,Black,8 GB,256GB,Unknown,2.10 GHz,ThinkPad,2019,Unknown,"Professional, Windows 10",Unknown,256 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Unknown,344.51,$,Unknown,4.0,Unknown,14.0,Unknown,Negro,Unknown,Unknown,Gráficos Intel HD 5500,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Fujitsu Siemens,405.53,$,Unknown,4.0,Intel Core i5 6th generation,13.0,Unknown,Unknown,Unknown,240GB,Intel HD Graphics 520,2.00-3.00GHz,Notebook/Laptop,Unknown,E736,Windows 10 pros,"10/100 LAN Card, Webcam integrated, Wi-Fi, Bluetooth",NO,Unknown,SSD,1920.0,1080.0
HP,140.0,$,5 out of 5 stars,1.0,Intel Pentium,14.0,Unknown,Silver,4 GB,64 GB,Intel UHD Graphics 605,1.10 GHz,Notebook/Laptop,2021,Samsung ChromeBook,Chrome OS,"Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",64 GB,Unknown,SSD (Solid State Drive),1366.0,768.0
HP,759.04,$,Unknown,4.0,Unknown,13.0,Unknown,Unknown,8 GB,256 GB,Unknown,Unknown,Notebook/Laptop,Unknown,HP ProBook,Windows 10 Pro,"Wi-Fi, Backlit Keyboard, Built-in Microphone, Built-in Webcam, Bluetooth",256 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Lenovo,1.0,$,Unknown,4.0,Intel Core i7 13th Gen.,14.0,Unknown,Unknown,16 GB,512 GB,Intel Iris Xe Graphics,1.70 GHz,Notebook/Laptop,2023,Lenovo IdeaPad Flex 5 14IRU8,Windows 11 Home,"Bluetooth, Wi-Fi, Convertible 2-in-1 Laptop/Tablet",Unknown,Unknown,SSD (Solid State Drive),1920.0,1200.0
Dell,400.0,$,Unknown,4.0,Intel,15.6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Notebook/Laptop,Unknown,Dell 9570,Unknown,Touchscreen,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,96.58,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,26.16,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,425.54,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Intel HD Graphics 520,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Lenovo,461.72,$,Unknown,4.0,Intel Core i5 3rd generation,14.0,Unknown,Unknown,Unknown,120GB,Intel HD Graphics 4000,2.00-3.00GHz,Notebook/Laptop,Unknown,T430,Windows 10 pros,"10/100 LAN Card,  Webcam integrated,  Wi-Fi,  Bluetooth",500GB,Unknown,HDD + SSD,1920.0,1080.0
Unknown,216.03,$,Unknown,4.0,Unknown,14.0,Unknown,Negro,Unknown,Unknown,Intel GMA 950,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,487.6,$,Unknown,4.0,Intel Core i5 6th generation,12.0,Unknown,Unknown,Unknown,240GB,Intel HD Graphics 520,2.80 GHz,Notebook/Laptop,Unknown,E7270,Windows 10 Pros,"10/100 LAN Card,  Webcam integrated,  Wi-Fi,  Touchscreen,  Bluetooth",NO,Unknown,Unknown,1920.0,1080.0
Unknown,449.19,$,Unknown,4.0,Unknown,14.0,Unknown,Negro,Unknown,Unknown,Nvidia GeForce GT720M,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,487.23,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,530.15,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Carte graphique Intel HD 5500,Unknown,Pc Portable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,353.91,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Carte graphique Intel HD 4400,Unknown,Ordinateur portable/Pc portable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,859.08,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Carte graphique Intel UHD 620,Unknown,Ordinateur portable/Pc portable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,1.0,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Carte graphique Intel HD 520,Unknown,Ordinateur portable/Pc portable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,812.05,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Carte graphique Intel HD 620,Unknown,Tablette robuste,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
AUO,70.3,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,22.35,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Fujitsu,269.45,$,Unknown,4.0,Intel i5,14.0,Unknown,Unknown,4GB,Unknown,Unknown,2.50GHz,Notebook/Laptop,Unknown,Lifebook S781,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,92.12,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,240.21,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,intel GMA 950,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,357.06,$,Unknown,4.0,Unknown,14.0,Unknown,Negro,Unknown,Unknown,Gráficos Intel HD 5500,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Fujitsu Siemens,436.12,$,Unknown,4.0,Intel Core i3 4th generation,13.0,Unknown,Unknown,Unknown,240GB,Intel HD Graphics 4600,2.00-3.00GHz,Notebook/Laptop,Unknown,E734,Windows 10 pros,"10/100 LAN Card, Webcam integrated, Wi-Fi, Bluetooth",NO,Unknown,SSD,1920.0,1080.0
Dell,144.0,$,Unknown,4.0,Intel Core I5-2520M,14.0,Unknown,Unknown,4 GB,Unknown,Intel HD Graphics,2.50 GHz,Notebook/Laptop,Unknown,Dell Latitude E6430,Not Included,Unknown,240 GB,Unknown,HDD (Hard Disk Drive),1600.0,900.0
Dell,430.17,$,Unknown,4.0,Intel Core i5 6th generation,12.0,Unknown,Black,Unknown,240GB,Intel HD Graphics 520,2.80 GHz,Notebook/Laptop,Unknown,E7270,Windows 10 Pros,"Touchscreen, 10/100 LAN Card, Bluetooth, LTE, Backlit Keyboard, Webcam integrated, Wi-Fi",NO,Unknown,Unknown,1920.0,1080.0
Unknown,276.62,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Intel HD Graphics 4400,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,165.02,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,323.66,$,Unknown,4.0,Intel Core i5 4th generation,14.0,Unknown,Black,Unknown,120GB,Intel HD Graphics 4400,2.60 GHz,Notebook/Laptop,Unknown,E5440,Windows 10 Pros,"10/100 LAN Card, Wi-Fi, SD Card Reader, Bluetooth",NO,Unknown,Unknown,1920.0,1080.0
Unknown,88.71,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,110.06,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,475.51,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Intel HD Graphics 4600,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,48.83,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,627.11,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Intel HD Graphics 4600,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,443.78,$,Unknown,4.0,Intel Core i5 6th generation,12.0,Unknown,Black,Unknown,240GB,Intel HD Graphics 520,2.30GHz,Notebook/Laptop,Unknown,E7270,Windows 10 pros,"Webcam integrated,  Wi-Fi,  Touchscreen,  Bluetooth",NO,Unknown,SSD,1920.0,1080.0
Unknown,650.44,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Intel HD Graphics 4400,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,94.1,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,269.31,$,Unknown,4.0,Unknown,14.0,Unknown,Negro,Unknown,Unknown,Gráficos Intel HD 4200,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,425.37,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,intel HD Graphics 4400,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,546.36,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Carte graphique Intel HD 520,Unknown,Ordinateur portable/Pc portable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,1.0,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Carte graphique Intel HD 620,Unknown,Tablette robuste,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,2.0,$,Unknown,4.0,Unknown,14.0,Unknown,Negro,Unknown,Unknown,Gráficos Intel UHD 620,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
LG,93.76,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,81.87,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,113.76,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,358.66,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Carte graphique Intel HD 4000,Unknown,Ordinateur portable/Pc portable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,301.47,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Carte graphique Intel HD 4400,Unknown,Ordinateur portable/Pc portable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,103.19,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,108.06,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
